formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id	featureId
1	C54H92O	[M - H]-	C54H92O	0.026130653266331662	5.584850516696425	5.584850516696425	0.0	2	0.01993309172010037	-2.8693874037162033	2.8693874037162033	-4.685845131822506		755.70400	497.445	1_all_features_Matched_for_GNPS_msLevel2retentionTime497.445scanNum2p	FT1046
1	C14H33N10O7P3S	[M - H]-	C14H33N10O7P3S	0.02412060301507538	20.530972630297853	20.530972630297853	0.0	14	0.799080195458465	-3.726785251249202	3.726785251249202	-7.186935038529071		577.13530	371.463	2_all_features_Matched_for_GNPS_msLevel2retentionTime371.463scanNum3p	FT0877
1	C63H82	[M - H]-	C63H82	0.010552763819095479	14.524401083529384	14.524401083529384	0.0	2	0.7481228211316706	-0.732715449288361	0.732715449288361	-0.5684725862221927		837.63390	602.0232	3_all_features_Matched_for_GNPS_msLevel2retentionTime602.0232scanNum4	FT1120
1	C56H97N3O7	[M - H]-	C56H97N3O7	5.025125628140704E-4	3.384504948137089	3.384504948137089	0.0	8	0.5935878214738786	0.23422952901162938	2.6027773840394772	-0.1907305766511889		922.72520	682.0578	4_all_features_Matched_for_GNPS_msLevel2retentionTime682.0578scanNum5	FT1155
1	C58H97N5O4	[M - H]-	C58H97N5O4	0.0010050251256281408	0.7492777610133001	0.7492777610133001	0.0	1	0.0	2.8161530168696998	2.8161530168696998	3.474365352664869		926.75000	555.093	5_all_features_Matched_for_GNPS_msLevel2retentionTime555.093scanNum6p	FT1162
1	C51H104O14	[M - H]-	C51H104O14	0.0015075376884422112	13.021363467011073	13.021363467011073	0.0	2	0.6471568892493467	0.5487173242300425	1.1628724006636162	2.2010873362946803		939.73740	611.2248	6_all_features_Matched_for_GNPS_msLevel2retentionTime611.2248scanNum7	FT1169
1	C19H38N4O8S4	[M - H]-	C19H38N4O8S4	0.014572864321608042	9.845160935219726	9.845160935219726	0.0	9	0.7309435951502372	0.014766356514744318	2.219921014818332	-3.7628557354657257		577.14780	421.341	7_all_features_Matched_for_GNPS_msLevel2retentionTime421.341scanNum8p	FT0876
1	C34H40	[M - H]-	C34H40	0.691959798994975	3.5	3.5	0.0	1	0.0	NaN	NaN	-1.3968718654494565		447.30510	414.88902	8_all_features_Matched_for_GNPS_msLevel2retentionTime414.88902scanNum9	FT0664
1	C22H51N3O2P2	[M - H]-	C22H51N3O2P2	0.2809045226130653	1.6556094288572654	1.6556094288572654	0.0	4	0.19288864603255143	1.0378578459799204	1.0378578459799204	-0.8319970988421016		450.33800	377.20398	9_all_features_Matched_for_GNPS_msLevel2retentionTime377.20398scanNum10	FT0683
1	C10H21N3O13P2	[M - H]-	C10H21N3O13P2	0.04874371859296483	19.56043283860197	19.56043283860197	0.0	13	0.4736892437898966	-6.459595654401188	6.459595654401188	4.23727858738367		452.04960	374.17398	10_all_features_Matched_for_GNPS_msLevel2retentionTime374.17398scanNum11	FT0689
1	C36H70N10O4S5	[M - H]-	C36H70N10O4S5	0.030150753768844223	55.541637181456366	55.541637181456366	0.0	39	0.7665076575445644	2.430022961870205	3.9806182293358225	-10.318054284802992		865.40230	299.45202	11_all_features_Matched_for_GNPS_msLevel2retentionTime299.45202scanNum12	FT1130
